study,timepoint,contrast,direction,klass,pathway,total,expected,hits,raw_p,fdr_native,enrichment_ratio
MISAME-III,14-21 days,IFA/BEP,down,metabolite,Porphyrin Metabolism,1,0.0111,1,0.0111,0.0518,-90.09009009009009
MISAME-III,14-21 days,IFA/BEP,down,metabolite,Phospholipid Biosynthesis,1,0.0111,1,0.0111,0.0518,-90.09009009009009
MISAME-III,14-21 days,IFA/BEP,down,metabolite,Pantothenate and CoA Biosynthesis,1,0.0111,1,0.0111,0.0518,-90.09009009009009
MISAME-III,14-21 days,IFA/BEP,down,metabolite,Ketone Body Metabolism,1,0.0111,1,0.0111,0.0518,-90.09009009009009
MISAME-III,14-21 days,IFA/BEP,down,metabolite,Butyrate Metabolism,1,0.0111,1,0.0111,0.0518,-90.09009009009009
MISAME-III,14-21 days,IFA/BEP,down,metabolite,Arachidonic Acid Metabolism,1,0.0111,1,0.0111,0.0518,-90.09009009009009
MISAME-III,14-21 days,IFA/BEP,down,metabolite,Mitochondrial Electron Transport Chain,1,0.0111,1,0.0111,0.0518,-90.09009009009009
MISAME-III,14-21 days,IFA/BEP,down,metabolite,Phytanic Acid Peroxisomal Oxidation,1,0.0111,1,0.0111,0.0518,-90.09009009009009
MISAME-III,14-21 days,IFA/BEP,down,metabolite,Homocysteine Degradation,1,0.0111,1,0.0111,0.0518,-90.09009009009009
MISAME-III,14-21 days,IFA/BEP,down,metabolite,Mitochondrial Beta-Oxidation of Medium Chain Saturated Fatty Acids,1,0.0111,1,0.0111,0.0518,-90.09009009009009
MISAME-III,14-21 days,IFA/BEP,down,metabolite,Phosphatidylcholine Biosynthesis,1,0.0111,1,0.0111,0.0518,-90.09009009009009
MISAME-III,14-21 days,IFA/BEP,down,metabolite,Phosphatidylethanolamine Biosynthesis,1,0.0111,1,0.0111,0.0518,-90.09009009009009
MISAME-III,1-2 mo.,BEP/IFA,down,metabolite,Ketone Body Metabolism,1,0.0111,1,0.0111,0.109,-90.09009009009009
MISAME-III,1-2 mo.,BEP/IFA,down,metabolite,Butyrate Metabolism,1,0.0111,1,0.0111,0.109,-90.09009009009009
MISAME-III,1-2 mo.,BEP/IFA,down,metabolite,Arachidonic Acid Metabolism,1,0.0111,1,0.0111,0.109,-90.09009009009009
MISAME-III,1-2 mo.,BEP/IFA,down,metabolite,Malate-Aspartate Shuttle,1,0.0111,1,0.0111,0.109,-90.09009009009009
MISAME-III,1-2 mo.,BEP/IFA,down,metabolite,Mitochondrial Electron Transport Chain,1,0.0111,1,0.0111,0.109,-90.09009009009009
MISAME-III,1-2 mo.,BEP/IFA,down,metabolite,Phytanic Acid Peroxisomal Oxidation,1,0.0111,1,0.0111,0.109,-90.09009009009009
MISAME-III,1-2 mo.,BEP/IFA,down,metabolite,Mitochondrial Beta-Oxidation of Medium Chain Saturated Fatty Acids,1,0.0111,1,0.0111,0.109,-90.09009009009009
MISAME-III,1-2 mo.,IFA/BEP,down,metabolite,Arachidonic Acid Metabolism,1,0.0111,1,0.0111,0.272,-90.09009009009009
MISAME-III,1-2 mo.,IFA/BEP,down,metabolite,Mitochondrial Beta-Oxidation of Medium Chain Saturated Fatty Acids,1,0.0111,1,0.0111,0.272,-90.09009009009009
Mumta-LW,1.5 mo.,BEP,up,metabolite,Tryptophan Metabolism,4,0.0121,1,0.0121,0.131,82.64462809917356
Mumta-LW,2 mo.,BEP,down,metabolite,Alanine Metabolism,2,0.0121,1,0.0121,0.236,-82.64462809917356
Mumta-LW,2 mo.,BEP,up,metabolite,Purine Metabolism,4,0.0121,1,0.0121,0.185,82.64462809917356
Mumta-LW,2 mo.,BEP,up,metabolite,Tryptophan Metabolism,4,0.0121,1,0.0121,0.185,82.64462809917356
ELICIT,5 mo.,Nico,down,metabolite,Tyrosine Metabolism,3,0.0121,1,0.0121,0.246,-82.64462809917356
ELICIT,5 mo.,Nico,down,metabolite,Ammonia Recycling,3,0.0121,1,0.0121,0.246,-82.64462809917356
MISAME-III,14-21 days,BEP/IFA,down,metabolite,Carnitine Synthesis,4,0.0121,1,0.0121,0.131,-82.64462809917356
MISAME-III,14-21 days,BEP/IFA,up,metabolite,Ammonia Recycling,3,0.0121,1,0.0121,0.118,82.64462809917356
MISAME-III,14-21 days,BEP/IFA,up,metabolite,Oxidation of Branched Chain Fatty Acids,3,0.0121,1,0.0121,0.118,82.64462809917356
MISAME-III,14-21 days,BEP/IFA,up,metabolite,Fatty acid Metabolism,3,0.0121,1,0.0121,0.118,82.64462809917356
Mumta-LW,1.5 mo.,BEP+ExBf+AZT,up,metabolite,Spermidine and Spermine Biosynthesis,4,0.0121,1,0.0121,1,82.64462809917356
Mumta-LW,2 mo.,BEP+ExBf,up,metabolite,Glutathione Metabolism,3,0.0121,1,0.0121,0.197,82.64462809917356
MISAME-III,1-2 mo.,BEP/BEP,down,metabolite,Beta Oxidation of Very Long Chain Fatty Acids,2,0.0141,1,0.0141,0.276,-70.92198581560284
Mumta-LW,1.5 mo.,BEP+ExBf,up,metabolite,Propanoate Metabolism,2,0.0141,1,0.0141,0.173,70.92198581560284
Mumta-LW,1.5 mo.,BEP+ExBf,up,metabolite,"Valine, Leucine and Isoleucine Degradation",2,0.0141,1,0.0141,0.173,70.92198581560284
Mumta-LW,1.5 mo.,BEP+ExBf,up,metabolite,Lysine Degradation,2,0.0141,1,0.0141,0.173,70.92198581560284
Mumta-LW,1.5 mo.,BEP+ExBf,up,metabolite,Alanine Metabolism,2,0.0141,1,0.0141,0.173,70.92198581560284
Mumta-LW,1.5 mo.,BEP+ExBf,up,metabolite,Glucose-Alanine Cycle,2,0.0141,1,0.0141,0.173,70.92198581560284
ELICIT,1 mo.,Az.,down,metabolite,Propanoate Metabolism,2,0.0141,1,0.0141,0.138,-70.92198581560284
ELICIT,1 mo.,Az.,down,metabolite,Taurine and Hypotaurine Metabolism,2,0.0141,1,0.0141,0.138,-70.92198581560284
ELICIT,1 mo.,Az.,down,metabolite,Citric Acid Cycle,2,0.0141,1,0.0141,0.138,-70.92198581560284
ELICIT,1 mo.,Az.,down,metabolite,Warburg Effect,2,0.0141,1,0.0141,0.138,-70.92198581560284
ELICIT,1 mo.,Nico,down,metabolite,"Valine, Leucine and Isoleucine Degradation",2,0.0141,1,0.0141,0.197,-70.92198581560284
ELICIT,1 mo.,Nico,down,metabolite,Citric Acid Cycle,2,0.0141,1,0.0141,0.197,-70.92198581560284
ELICIT,1 mo.,Nico,down,metabolite,Warburg Effect,2,0.0141,1,0.0141,0.197,-70.92198581560284
ELICIT,1 mo.,Nico+Az.,down,metabolite,Taurine and Hypotaurine Metabolism,2,0.0141,1,0.0141,0.06,-70.92198581560284
ELICIT,1 mo.,Nico+Az.,down,metabolite,"Valine, Leucine and Isoleucine Degradation",2,0.0141,1,0.0141,0.06,-70.92198581560284
ELICIT,1 mo.,Nico+Az.,down,metabolite,Alanine Metabolism,2,0.0141,1,0.0141,0.06,-70.92198581560284
ELICIT,1 mo.,Nico+Az.,down,metabolite,Citric Acid Cycle,2,0.0141,1,0.0141,0.06,-70.92198581560284
ELICIT,1 mo.,Nico+Az.,down,metabolite,Betaine Metabolism,2,0.0141,1,0.0141,0.06,-70.92198581560284
ELICIT,1 mo.,Nico+Az.,down,metabolite,Warburg Effect,2,0.0141,1,0.0141,0.06,-70.92198581560284
ELICIT,5 mo.,Nico,down,metabolite,Propanoate Metabolism,2,0.0141,1,0.0141,0.345,-70.92198581560284
ELICIT,5 mo.,Nico,down,metabolite,Taurine and Hypotaurine Metabolism,2,0.0141,1,0.0141,0.345,-70.92198581560284
ELICIT,5 mo.,Nico,down,metabolite,"Valine, Leucine and Isoleucine Degradation",2,0.0141,1,0.0141,0.345,-70.92198581560284
Mumta-LW,1.5 mo.,BEP,up,metabolite,Urea Cycle,5,0.0151,1,0.0151,0.134,66.2251655629139
Mumta-LW,1.5 mo.,BEP,up,metabolite,Glutamate Metabolism,5,0.0151,1,0.0151,0.134,66.2251655629139
Mumta-LW,2 mo.,BEP,up,metabolite,Urea Cycle,5,0.0151,1,0.0151,0.185,66.2251655629139
Mumta-LW,2 mo.,BEP,up,metabolite,Glutamate Metabolism,5,0.0151,1,0.0151,0.185,66.2251655629139
MISAME-III,14-21 days,BEP/BEP,down,metabolite,Ammonia Recycling,3,0.0151,1,0.0151,0.164,-66.2251655629139
MISAME-III,14-21 days,BEP/BEP,down,metabolite,Glutathione Metabolism,3,0.0151,1,0.0151,0.164,-66.2251655629139
MISAME-III,14-21 days,BEP/IFA,down,metabolite,Glutamate Metabolism,5,0.0151,1,0.0151,0.148,-66.2251655629139
Mumta-LW,2 mo.,BEP+ExBf+AZT,up,metabolite,Glutathione Metabolism,3,0.0151,1,0.0151,0.245,66.2251655629139
MISAME-III,1-2 mo.,BEP,up,metabolite,Beta-Alanine Metabolism,4,0.0161,1,0.0161,0.315,62.11180124223603
ELICIT,5 mo.,Nico,down,metabolite,Beta-Alanine Metabolism,4,0.0161,1,0.0161,0.246,-62.11180124223603
ELICIT,5 mo.,Nico,down,metabolite,Purine Metabolism,4,0.0161,1,0.0161,0.246,-62.11180124223603
ELICIT,5 mo.,Nico,down,metabolite,Tryptophan Metabolism,4,0.0161,1,0.0161,0.246,-62.11180124223603
MISAME-III,14-21 days,BEP/IFA,up,metabolite,Beta-Alanine Metabolism,4,0.0161,1,0.0161,0.131,62.11180124223603
MISAME-III,14-21 days,BEP/IFA,up,metabolite,Carnitine Synthesis,4,0.0161,1,0.0161,0.131,62.11180124223603
MISAME-III,1-2 mo.,BEP/IFA,up,metabolite,Beta-Alanine Metabolism,4,0.0161,1,0.0161,0.393,62.11180124223603
MISAME-III,3-4 mo.,BEP/IFA,up,metabolite,Arginine and Proline Metabolism,8,0.0161,1,0.0161,0.131,62.11180124223603
Mumta-LW,1.5 mo.,BEP+ExBf,down,metabolite,Methionine Metabolism,8,0.0161,1,0.0161,0.886,-62.11180124223603
Mumta-LW,2 mo.,BEP+ExBf,up,metabolite,Alpha Linolenic Acid and Linoleic Acid Metabolism,4,0.0161,1,0.0161,0.218,62.11180124223603
ELICIT,1 mo.,Nico,up,metabolite,Purine Metabolism,4,0.0161,1,0.0161,0.783,62.11180124223603
ELICIT,5 mo.,Az.,down,metabolite,Taurine and Hypotaurine Metabolism,2,0.0161,1,0.0161,0.143,-62.11180124223603
ELICIT,5 mo.,Az.,down,metabolite,"Valine, Leucine and Isoleucine Degradation",2,0.0161,1,0.0161,0.143,-62.11180124223603
ELICIT,5 mo.,Az.,down,metabolite,Alanine Metabolism,2,0.0161,1,0.0161,0.143,-62.11180124223603
MISAME-III,14-21 days,BEP,down,metabolite,Taurine and Hypotaurine Metabolism,2,0.0182,1,0.0181,0.161,-54.94505494505494
MISAME-III,14-21 days,BEP,down,metabolite,Beta Oxidation of Very Long Chain Fatty Acids,2,0.0182,1,0.0181,0.161,-54.94505494505494
MISAME-III,1-2 mo.,BEP,down,metabolite,"Valine, Leucine and Isoleucine Degradation",2,0.0182,1,0.0181,0.127,-54.94505494505494
MISAME-III,1-2 mo.,BEP,down,metabolite,Beta Oxidation of Very Long Chain Fatty Acids,2,0.0182,1,0.0181,0.127,-54.94505494505494
MISAME-III,1-2 mo.,BEP,down,metabolite,Citric Acid Cycle,2,0.0182,1,0.0181,0.127,-54.94505494505494
MISAME-III,1-2 mo.,BEP,down,metabolite,Warburg Effect,2,0.0182,1,0.0181,0.127,-54.94505494505494
MISAME-III,3-4 mo.,BEP,down,metabolite,Taurine and Hypotaurine Metabolism,2,0.0182,1,0.0181,0.253,-54.94505494505494
Mumta-LW,2 mo.,BEP,down,metabolite,Ammonia Recycling,3,0.0182,1,0.0181,0.236,-54.94505494505494
Mumta-LW,2 mo.,BEP,down,metabolite,Glutathione Metabolism,3,0.0182,1,0.0181,0.236,-54.94505494505494
ELICIT,1 mo.,Nico,down,metabolite,"Valine, Leucine and Isoleucine Degradation",2,0.0182,1,0.0181,0.148,-54.94505494505494
ELICIT,1 mo.,Nico,down,metabolite,Beta Oxidation of Very Long Chain Fatty Acids,2,0.0182,1,0.0181,0.148,-54.94505494505494
ELICIT,1 mo.,Nico,down,metabolite,Citric Acid Cycle,2,0.0182,1,0.0181,0.148,-54.94505494505494
ELICIT,1 mo.,Nico,down,metabolite,Mitochondrial Beta-Oxidation of Long Chain Saturated Fatty Acids,2,0.0182,1,0.0181,0.148,-54.94505494505494
ELICIT,1 mo.,Nico,down,metabolite,Warburg Effect,2,0.0182,1,0.0181,0.148,-54.94505494505494
Mumta-LW,1.5 mo.,BEP+ExBf,down,metabolite,Glycine and Serine Metabolism,9,0.0182,1,0.0181,0.886,-54.94505494505494
ELICIT,5 mo.,Nico+Az.,down,metabolite,Aspartate Metabolism,6,0.0182,1,0.0181,0.253,-54.94505494505494
MISAME-III,1-2 mo.,BEP,up,metabolite,Histidine Metabolism,5,0.0202,1,0.0201,0.328,49.504950495049506
ELICIT,5 mo.,Nico,down,metabolite,Urea Cycle,5,0.0202,1,0.0201,0.246,-49.504950495049506
ELICIT,5 mo.,Nico,down,metabolite,Glutamate Metabolism,5,0.0202,1,0.0201,0.246,-49.504950495049506
MISAME-III,14-21 days,BEP/BEP,down,metabolite,Beta-Alanine Metabolism,4,0.0202,1,0.0201,0.179,-49.504950495049506
MISAME-III,14-21 days,BEP/BEP,down,metabolite,Alpha Linolenic Acid and Linoleic Acid Metabolism,4,0.0202,1,0.0201,0.179,-49.504950495049506
MISAME-III,14-21 days,BEP/IFA,up,metabolite,Histidine Metabolism,5,0.0202,1,0.0201,0.151,49.504950495049506
MISAME-III,1-2 mo.,BEP/BEP,up,metabolite,Beta-Alanine Metabolism,4,0.0202,1,0.0201,0.393,49.504950495049506
MISAME-III,1-2 mo.,BEP/IFA,up,metabolite,Histidine Metabolism,5,0.0202,1,0.0201,0.393,49.504950495049506
MISAME-III,3-4 mo.,IFA/BEP,down,metabolite,Taurine and Hypotaurine Metabolism,2,0.0202,1,0.0201,0.219,-49.504950495049506
MISAME-III,3-4 mo.,IFA/BEP,down,metabolite,Beta Oxidation of Very Long Chain Fatty Acids,2,0.0202,1,0.0201,0.219,-49.504950495049506
Mumta-LW,1.5 mo.,BEP+ExBf+AZT,down,metabolite,Beta Oxidation of Very Long Chain Fatty Acids,2,0.0202,1,0.0201,0.281,-49.504950495049506
Mumta-LW,2 mo.,BEP+ExBf,up,metabolite,Urea Cycle,5,0.0202,1,0.0201,0.218,49.504950495049506
Mumta-LW,2 mo.,BEP+ExBf,up,metabolite,Glutamate Metabolism,5,0.0202,1,0.0201,0.218,49.504950495049506
Mumta-LW,2 mo.,BEP+ExBf+AZT,up,metabolite,Alpha Linolenic Acid and Linoleic Acid Metabolism,4,0.0202,1,0.0201,0.245,49.504950495049506
Mumta-LW,2 mo.,BEP+ExBf+AZT,up,metabolite,Purine Metabolism,4,0.0202,1,0.0201,0.245,49.504950495049506
Mumta-LW,2 mo.,BEP+ExBf+AZT,up,metabolite,Tryptophan Metabolism,4,0.0202,1,0.0201,0.245,49.504950495049506
ELICIT,1 mo.,Nico,up,metabolite,Urea Cycle,5,0.0202,1,0.0201,0.783,49.504950495049506
MISAME-III,1-2 mo.,BEP/BEP,down,metabolite,Fatty Acid Biosynthesis,3,0.0212,1,0.0211,0.344,-47.16981132075472
Mumta-LW,1.5 mo.,BEP+ExBf,up,metabolite,Glutathione Metabolism,3,0.0212,1,0.0211,0.229,47.16981132075472
ELICIT,1 mo.,Az.,down,metabolite,Oxidation of Branched Chain Fatty Acids,3,0.0212,1,0.0211,0.188,-47.16981132075472
ELICIT,1 mo.,Nico,down,metabolite,Oxidation of Branched Chain Fatty Acids,3,0.0212,1,0.0211,0.258,-47.16981132075472
ELICIT,1 mo.,Nico+Az.,down,metabolite,Ammonia Recycling,3,0.0212,1,0.0211,0.0826,-47.16981132075472
ELICIT,1 mo.,Nico+Az.,down,metabolite,Oxidation of Branched Chain Fatty Acids,3,0.0212,1,0.0211,0.0826,-47.16981132075472
MISAME-III,14-21 days,IFA/BEP,down,metabolite,Taurine and Hypotaurine Metabolism,2,0.0222,1,0.0221,0.0773,-45.04504504504504
MISAME-III,14-21 days,IFA/BEP,down,metabolite,"Valine, Leucine and Isoleucine Degradation",2,0.0222,1,0.0221,0.0773,-45.04504504504504
MISAME-III,14-21 days,IFA/BEP,down,metabolite,Beta Oxidation of Very Long Chain Fatty Acids,2,0.0222,1,0.0221,0.0773,-45.04504504504504
MISAME-III,14-21 days,IFA/BEP,down,metabolite,Alanine Metabolism,2,0.0222,1,0.0221,0.0773,-45.04504504504504
MISAME-III,14-21 days,IFA/BEP,down,metabolite,Citric Acid Cycle,2,0.0222,1,0.0221,0.0773,-45.04504504504504
MISAME-III,14-21 days,IFA/BEP,down,metabolite,Betaine Metabolism,2,0.0222,1,0.0221,0.0773,-45.04504504504504
MISAME-III,14-21 days,IFA/BEP,down,metabolite,Warburg Effect,2,0.0222,1,0.0221,0.0773,-45.04504504504504
MISAME-III,1-2 mo.,BEP/IFA,down,metabolite,"Valine, Leucine and Isoleucine Degradation",2,0.0222,1,0.0221,0.155,-45.04504504504504
MISAME-III,1-2 mo.,BEP/IFA,down,metabolite,Beta Oxidation of Very Long Chain Fatty Acids,2,0.0222,1,0.0221,0.155,-45.04504504504504
MISAME-III,1-2 mo.,BEP/IFA,down,metabolite,Citric Acid Cycle,2,0.0222,1,0.0221,0.155,-45.04504504504504
MISAME-III,1-2 mo.,BEP/IFA,down,metabolite,Warburg Effect,2,0.0222,1,0.0221,0.155,-45.04504504504504
MISAME-III,1-2 mo.,IFA/BEP,down,metabolite,Beta Oxidation of Very Long Chain Fatty Acids,2,0.0222,1,0.0221,0.433,-45.04504504504504
MISAME-III,1-2 mo.,BEP/IFA,down,lipid,Sphingolipid Metabolism,6,0.0241,1,0.0239,1,-41.49377593360996
MISAME-III,3-4 mo.,BEP/BEP,down,lipid,Sphingolipid Metabolism,6,0.0241,1,0.0239,1,-41.49377593360996
MISAME-III,1-2 mo.,BEP,up,metabolite,Aspartate Metabolism,6,0.0242,1,0.024,0.336,41.32231404958678
Mumta-LW,2 mo.,BEP,down,metabolite,Purine Metabolism,4,0.0242,1,0.024,0.236,-41.32231404958678
Mumta-LW,2 mo.,BEP,down,metabolite,Spermidine and Spermine Biosynthesis,4,0.0242,1,0.024,0.236,-41.32231404958678
Mumta-LW,2 mo.,BEP,down,metabolite,Carnitine Synthesis,4,0.0242,1,0.024,0.236,-41.32231404958678
ELICIT,5 mo.,Nico,down,metabolite,Aspartate Metabolism,6,0.0242,1,0.024,0.262,-41.32231404958678
MISAME-III,14-21 days,BEP/IFA,down,metabolite,Arginine and Proline Metabolism,8,0.0242,1,0.024,0.214,-41.32231404958678
MISAME-III,1-2 mo.,BEP/IFA,up,metabolite,Aspartate Metabolism,6,0.0242,1,0.024,0.393,41.32231404958678
MISAME-III,3-4 mo.,BEP/IFA,down,metabolite,Methionine Metabolism,8,0.0242,1,0.024,0.53,-41.32231404958678
Mumta-LW,1.5 mo.,BEP+ExBf+AZT,up,metabolite,Methionine Metabolism,8,0.0242,1,0.024,1,41.32231404958678
ELICIT,1 mo.,Nico,up,metabolite,Aspartate Metabolism,6,0.0242,1,0.024,0.783,41.32231404958678
ELICIT,5 mo.,Az.,down,metabolite,Ammonia Recycling,3,0.0242,1,0.024,0.181,-41.32231404958678
ELICIT,5 mo.,Az.,down,metabolite,Glutathione Metabolism,3,0.0242,1,0.024,0.181,-41.32231404958678
MISAME-III,14-21 days,BEP/BEP,down,metabolite,Histidine Metabolism,5,0.0252,1,0.025,0.189,-39.68253968253968
MISAME-III,14-21 days,BEP/BEP,down,metabolite,Glutamate Metabolism,5,0.0252,1,0.025,0.189,-39.68253968253968
MISAME-III,1-2 mo.,BEP/BEP,up,metabolite,Histidine Metabolism,5,0.0252,1,0.025,0.409,39.68253968253968
Mumta-LW,2 mo.,BEP+ExBf+AZT,up,metabolite,Urea Cycle,5,0.0252,1,0.025,0.245,39.68253968253968
Mumta-LW,2 mo.,BEP+ExBf+AZT,up,metabolite,Glutamate Metabolism,5,0.0252,1,0.025,0.245,39.68253968253968
MISAME-III,14-21 days,BEP,down,metabolite,Ammonia Recycling,3,0.0272,1,0.027,0.189,-36.76470588235294
MISAME-III,14-21 days,BEP,down,metabolite,Glutathione Metabolism,3,0.0272,1,0.027,0.189,-36.76470588235294
MISAME-III,14-21 days,BEP,down,metabolite,Fatty Acid Biosynthesis,3,0.0272,1,0.027,0.189,-36.76470588235294
MISAME-III,1-2 mo.,BEP,down,metabolite,Oxidation of Branched Chain Fatty Acids,3,0.0272,1,0.027,0.166,-36.76470588235294
MISAME-III,1-2 mo.,BEP,down,metabolite,Fatty Acid Biosynthesis,3,0.0272,1,0.027,0.166,-36.76470588235294
MISAME-III,3-4 mo.,BEP,down,metabolite,Glutathione Metabolism,3,0.0272,1,0.027,0.331,-36.76470588235294
Mumta-LW,1.5 mo.,BEP,up,metabolite,Glycine and Serine Metabolism,9,0.0272,1,0.027,0.221,36.76470588235294
Mumta-LW,2 mo.,BEP,up,metabolite,Glycine and Serine Metabolism,9,0.0272,1,0.027,0.294,36.76470588235294
ELICIT,1 mo.,Nico,down,metabolite,Fatty acid Metabolism,3,0.0272,1,0.027,0.204,-36.76470588235294
MISAME-III,3-4 mo.,BEP/IFA,down,metabolite,Glycine and Serine Metabolism,9,0.0272,1,0.027,0.53,-36.76470588235294
MISAME-III,1-2 mo.,BEP/BEP,down,metabolite,Alpha Linolenic Acid and Linoleic Acid Metabolism,4,0.0283,1,0.028,0.392,-35.3356890459364
Mumta-LW,1.5 mo.,BEP+ExBf,up,metabolite,Spermidine and Spermine Biosynthesis,4,0.0283,1,0.028,0.274,35.3356890459364
ELICIT,1 mo.,Az.,down,metabolite,Carnitine Synthesis,4,0.0283,1,0.028,0.229,-35.3356890459364
ELICIT,1 mo.,Nico,down,metabolite,Carnitine Synthesis,4,0.0283,1,0.028,0.305,-35.3356890459364
ELICIT,1 mo.,Nico+Az.,down,metabolite,Purine Metabolism,4,0.0283,1,0.028,0.102,-35.3356890459364
ELICIT,1 mo.,Nico+Az.,down,metabolite,Spermidine and Spermine Biosynthesis,4,0.0283,1,0.028,0.102,-35.3356890459364
ELICIT,5 mo.,Nico,down,metabolite,Purine Metabolism,4,0.0283,1,0.028,0.457,-35.3356890459364
ELICIT,5 mo.,Nico,down,metabolite,Tryptophan Metabolism,4,0.0283,1,0.028,0.457,-35.3356890459364
ELICIT,1 mo.,Nico,up,metabolite,Bile Acid Biosynthesis,14,0.0283,1,0.0281,1,35.3356890459364
MISAME-III,14-21 days,IFA/BEP,down,lipid,Sphingolipid Metabolism,6,0.0302,1,0.0298,1,-33.11258278145695
Mumta-LW,2 mo.,BEP,down,metabolite,Glutamate Metabolism,5,0.0303,1,0.03,0.267,-33.003300330033
MISAME-III,14-21 days,BEP/BEP,down,metabolite,Aspartate Metabolism,6,0.0303,1,0.03,0.21,-33.003300330033
MISAME-III,1-2 mo.,BEP/BEP,up,metabolite,Aspartate Metabolism,6,0.0303,1,0.03,0.42,33.003300330033
MISAME-III,3-4 mo.,BEP/BEP,down,metabolite,Urea Cycle,5,0.0303,1,0.03,0.933,-33.003300330033
MISAME-III,3-4 mo.,IFA/BEP,down,metabolite,Glutathione Metabolism,3,0.0303,1,0.03,0.267,-33.003300330033
MISAME-III,3-4 mo.,IFA/BEP,down,metabolite,Fatty Acid Biosynthesis,3,0.0303,1,0.03,0.267,-33.003300330033
Mumta-LW,1.5 mo.,BEP+ExBf+AZT,down,metabolite,Fatty acid Metabolism,3,0.0303,1,0.03,0.367,-33.003300330033
ELICIT,5 mo.,Nico,down,metabolite,Arginine and Proline Metabolism,8,0.0323,1,0.0319,0.313,-30.959752321981423
Mumta-LW,2 mo.,BEP+ExBf+AZT,down,metabolite,Arginine and Proline Metabolism,8,0.0323,1,0.0319,1,-30.959752321981423
ELICIT,1 mo.,Nico,up,metabolite,Arginine and Proline Metabolism,8,0.0323,1,0.0319,0.783,30.959752321981423
ELICIT,5 mo.,Az.,down,metabolite,Beta-Alanine Metabolism,4,0.0323,1,0.0319,0.209,-30.959752321981423
ELICIT,5 mo.,Az.,down,metabolite,Carnitine Synthesis,4,0.0323,1,0.0319,0.209,-30.959752321981423
MISAME-III,14-21 days,IFA/BEP,down,metabolite,Oxidation of Branched Chain Fatty Acids,3,0.0333,1,0.033,0.108,-30.030030030030023
MISAME-III,14-21 days,IFA/BEP,down,metabolite,Fatty Acid Biosynthesis,3,0.0333,1,0.033,0.108,-30.030030030030023
MISAME-III,1-2 mo.,BEP/IFA,down,metabolite,Tyrosine Metabolism,3,0.0333,1,0.033,0.186,-30.030030030030023
MISAME-III,1-2 mo.,BEP/IFA,down,metabolite,Ammonia Recycling,3,0.0333,1,0.033,0.186,-30.030030030030023
MISAME-III,1-2 mo.,BEP/IFA,down,metabolite,Oxidation of Branched Chain Fatty Acids,3,0.0333,1,0.033,0.186,-30.030030030030023
MISAME-III,1-2 mo.,IFA/BEP,down,metabolite,Fatty Acid Biosynthesis,3,0.0333,1,0.033,0.536,-30.030030030030023
Mumta-LW,1.5 mo.,BEP+ExBf,up,metabolite,Glutamate Metabolism,5,0.0353,1,0.0349,0.311,28.328611898017
ELICIT,1 mo.,Az.,down,metabolite,Glutamate Metabolism,5,0.0353,1,0.0349,0.263,-28.328611898017
ELICIT,1 mo.,Nico,down,metabolite,Glutamate Metabolism,5,0.0353,1,0.0349,0.342,-28.328611898017
MISAME-III,14-21 days,BEP,down,metabolite,Beta-Alanine Metabolism,4,0.0363,1,0.0359,0.22,-27.548209366391184
MISAME-III,14-21 days,BEP,down,metabolite,Alpha Linolenic Acid and Linoleic Acid Metabolism,4,0.0363,1,0.0359,0.22,-27.548209366391184
MISAME-III,1-2 mo.,BEP,down,metabolite,Alpha Linolenic Acid and Linoleic Acid Metabolism,4,0.0363,1,0.0359,0.195,-27.548209366391184
MISAME-III,1-2 mo.,BEP,down,metabolite,Carnitine Synthesis,4,0.0363,1,0.0359,0.195,-27.548209366391184
MISAME-III,3-4 mo.,BEP,down,metabolite,Alpha Linolenic Acid and Linoleic Acid Metabolism,4,0.0363,1,0.0359,0.352,-27.548209366391184
MISAME-III,3-4 mo.,BEP,down,metabolite,Spermidine and Spermine Biosynthesis,4,0.0363,1,0.0359,0.352,-27.548209366391184
MISAME-III,3-4 mo.,BEP/BEP,down,metabolite,Aspartate Metabolism,6,0.0363,1,0.0359,0.933,-27.548209366391184
Mumta-LW,2 mo.,BEP+ExBf,up,metabolite,Glycine and Serine Metabolism,9,0.0363,1,0.0359,0.352,27.548209366391184
Mumta-LW,1.5 mo.,BEP,down,metabolite,Methionine Metabolism,8,0.0404,1,0.0398,1,-24.752475247524753
MISAME-III,14-21 days,BEP/BEP,down,metabolite,Methionine Metabolism,8,0.0404,1,0.0398,0.26,-24.752475247524753
MISAME-III,3-4 mo.,IFA/BEP,down,metabolite,Alpha Linolenic Acid and Linoleic Acid Metabolism,4,0.0404,1,0.0398,0.325,-24.752475247524753
Mumta-LW,1.5 mo.,BEP+ExBf+AZT,down,metabolite,Spermidine and Spermine Biosynthesis,4,0.0404,1,0.0398,0.434,-24.752475247524753
ELICIT,5 mo.,Az.,down,metabolite,Histidine Metabolism,5,0.0404,1,0.0398,0.229,-24.752475247524753
ELICIT,5 mo.,Az.,down,metabolite,Glutamate Metabolism,5,0.0404,1,0.0398,0.229,-24.752475247524753
Mumta-LW,1.5 mo.,BEP+ExBf,up,metabolite,Aspartate Metabolism,6,0.0424,1,0.0417,0.341,23.58490566037736
MISAME-III,14-21 days,BEP/IFA,down,metabolite,Bile Acid Biosynthesis,14,0.0424,1,0.0418,0.342,-23.58490566037736
