Pathway,Overlap Size,Pathway Size,Enrichment Ratio,P-value,FDR,Study,Time Point,Contrast,Regulation,Ionization Mode
Ascorbate (Vitamin C) and Aldarate Metabolism,6,12,0.5,0.00159650449542055,0.189984034955046,ELICIT,5 mo.,Nico,Upregulated,Positive
D4&E4-neuroprostanes formation,4,5,0.8,0.00168053104781111,0.0533288519172058,MISAME,3-4 mo.,BEP/BEP,Upregulated,Positive
Fructose and mannose metabolism,11,28,0.393,0.00168053104781111,0.0999915973447609,ELICIT,5 mo.,Nico+Az.,Upregulated,Negative
Vitamin E metabolism,8,12,-0.667,0.00168053104781111,0.0999915973447609,Mumta-LW,1.5 mo.,BEP+ExBf+AZT,Downregulated,Positive
Vitamin D3 (cholecalciferol) metabolism,5,6,-0.833,0.00176455760020166,0.104991177211999,MISAME,1-2 mo.,IFA/BEP,Downregulated,Negative
Ascorbate (Vitamin C) and Aldarate Metabolism,5,8,0.625,0.00184858415259222,0.219981514158474,MISAME,14-21 days,BEP/BEP,Upregulated,Positive
Ascorbate (Vitamin C) and Aldarate Metabolism,6,12,0.5,0.00193261070498277,0.22998067389295,MISAME,1-2 mo.,IFA/BEP,Upregulated,Positive
Vitamin B3 (nicotinate and nicotinamide) metabolism,4,8,0.5,0.00210066380976389,0.249978993361902,ELICIT,1 mo.,Nico,Upregulated,Positive
Carbon fixation,15,28,0.536,0.00210066380976389,0.249978993361902,Mumta-LW,1.5 mo.,BEP+ExBf,Upregulated,Negative
Androgen and estrogen biosynthesis and metabolism,10,18,-0.556,0.00218469036215444,0.0824930678094278,MISAME,3-4 mo.,BEP/BEP,Downregulated,Negative
Fructose and mannose metabolism,18,41,-0.439,0.00235274346693555,0.174985295353332,MISAME,3-4 mo.,BEP/IFA,Downregulated,Negative
Pentose phosphate pathway,19,48,0.396,0.00235274346693555,0.279976472565331,ELICIT,1 mo.,Nico+Az.,Upregulated,Negative
N-Glycan biosynthesis,10,24,-0.417,0.00243677001932611,0.0949920174775229,Mumta-LW,1.5 mo.,BEP+ExBf,Downregulated,Negative
Starch and Sucrose Metabolism,10,24,-0.417,0.00243677001932611,0.0949920174775229,Mumta-LW,1.5 mo.,BEP+ExBf,Downregulated,Negative
"Valine, leucine and isoleucine degradation",21,79,0.266,0.00252079657171666,0.147987564070246,MISAME,1-2 mo.,BEP/IFA,Upregulated,Negative
C5-Branched dibasic acid metabolism,12,24,0.5,0.00252079657171666,0.299974792034283,MISAME,3-4 mo.,IFA/BEP,Upregulated,Negative
"Fatty acid oxidation, peroxisome",11,20,-0.55,0.00260482312410722,0.309973951768759,MISAME,1-2 mo.,BEP/IFA,Downregulated,Negative
Keratan sulfate degradation,6,11,0.545,0.00260482312410722,0.0533288519172058,MISAME,3-4 mo.,BEP/BEP,Upregulated,Positive
Arachidonic acid metabolism,19,50,-0.38,0.00260482312410722,0.0699941181413327,MISAME,3-4 mo.,IFA/BEP,Downregulated,Negative
Chondroitin sulfate degradation,3,3,1,0.00268884967649777,0.0533288519172058,MISAME,3-4 mo.,BEP/BEP,Upregulated,Positive
Ascorbate (Vitamin C) and Aldarate Metabolism,5,8,0.625,0.00268884967649777,0.0533288519172058,MISAME,3-4 mo.,BEP/BEP,Upregulated,Positive
Fatty Acid Metabolism,15,33,-0.455,0.00277287622888833,0.0824930678094278,MISAME,3-4 mo.,BEP/BEP,Downregulated,Negative
Ascorbate (Vitamin C) and Aldarate Metabolism,37,74,0.5,0.00277287622888833,0.329972271237711,MISAME,3-4 mo.,BEP/BEP,Upregulated,Negative
Sphingolipid metabolism,3,3,-1,0.00285690278127888,0.339971430972187,MISAME,14-21 days,BEP/IFA,Downregulated,Positive
Glycerophospholipid metabolism,34,110,-0.309,0.00294092933366944,0.116656863568888,MISAME,1-2 mo.,IFA/BEP,Downregulated,Negative
Squalene and cholesterol biosynthesis,13,26,-0.5,0.00294092933366944,0.174985295353332,MISAME,3-4 mo.,BEP/IFA,Downregulated,Negative
Vitamin A (retinol) metabolism,13,30,-0.433,0.00294092933366944,0.0699941181413327,MISAME,3-4 mo.,IFA/BEP,Downregulated,Negative
Pyruvate Metabolism,21,59,-0.356,0.00319300899084111,0.133322129793015,ELICIT,1 mo.,Nico+Az.,Downregulated,Negative
Glycosphingolipid biosynthesis - globoseries,9,21,-0.429,0.00319300899084111,0.0949920174775229,Mumta-LW,1.5 mo.,BEP+ExBf,Downregulated,Negative
Carbon fixation,12,25,0.48,0.00319300899084111,0.189984034955046,Mumta-LW,2 mo.,BEP+ExBf+AZT,Upregulated,Negative
Prostaglandin formation from arachidonate,9,17,-0.529,0.00336106209562222,0.133322129793015,MISAME,14-21 days,IFA/BEP,Downregulated,Positive
Squalene and cholesterol biosynthesis,12,27,-0.444,0.00336106209562222,0.133322129793015,ELICIT,1 mo.,Nico+Az.,Downregulated,Negative
Glycerophospholipid metabolism,14,33,-0.424,0.00378119485757499,0.0949920174775229,MISAME,3-4 mo.,IFA/BEP,Downregulated,Positive
Androgen and estrogen biosynthesis and metabolism,9,18,-0.5,0.00386522140996555,0.0766602246309834,MISAME,3-4 mo.,IFA/BEP,Downregulated,Negative
Starch and Sucrose Metabolism,11,25,-0.44,0.00403327451474666,0.479959667254853,ELICIT,1 mo.,Nico,Downregulated,Negative
Fatty acid activation,11,21,-0.524,0.00403327451474666,0.159986555751618,Mumta-LW,1.5 mo.,BEP+ExBf+AZT,Downregulated,Positive
Biopterin metabolism,4,6,0.667,0.00411730106713722,0.489958826989329,MISAME,14-21 days,IFA/BEP,Upregulated,Positive
Arachidonic acid metabolism,12,36,-0.333,0.00420132761952777,0.192483824888665,ELICIT,5 mo.,Nico,Downregulated,Negative
Prostaglandin formation from arachidonate,6,13,-0.462,0.00428535417191833,0.169985715486094,ELICIT,5 mo.,Az.,Downregulated,Positive
C21-steroid hormone biosynthesis and metabolism,5,10,0.5,0.00445340727669944,0.460381480547853,ELICIT,5 mo.,Az.,Upregulated,Positive
Fatty Acid Metabolism,7,12,-0.583,0.00462146038148055,0.0949920174775229,MISAME,3-4 mo.,IFA/BEP,Downregulated,Positive
Propanoate metabolism,20,78,0.256,0.0047054869338711,0.147987564070246,MISAME,1-2 mo.,BEP/IFA,Upregulated,Negative
Tyrosine metabolism,25,98,-0.255,0.0047054869338711,0.111990589026132,Mumta-LW,1.5 mo.,BEP+ExBf,Downregulated,Negative
Vitamin A (retinol) metabolism,8,15,-0.533,0.00478951348626166,0.0949920174775229,MISAME,3-4 mo.,IFA/BEP,Downregulated,Positive
C5-Branched dibasic acid metabolism,10,23,0.435,0.00487354003865221,0.579951264599614,MISAME,14-21 days,IFA/BEP,Upregulated,Negative
Prostaglandin formation from arachidonate,12,37,-0.324,0.00495756659104277,0.192483824888665,ELICIT,5 mo.,Nico,Downregulated,Negative
Vitamin B5 - CoA biosynthesis from pantothenate,5,9,0.556,0.00504159314343333,0.278976556591883,MISAME,14-21 days,BEP/IFA,Upregulated,Positive
Dynorphin metabolism,3,3,1,0.00504159314343333,0.53256028905134,ELICIT,1 mo.,Az.,Upregulated,Positive
Butanoate metabolism,22,89,0.247,0.00512561969582388,0.147987564070246,MISAME,1-2 mo.,BEP/IFA,Upregulated,Negative
Starch and Sucrose Metabolism,11,31,0.355,0.00512561969582388,0.203316247934347,ELICIT,5 mo.,Nico+Az.,Upregulated,Negative
Fatty acid activation,9,18,-0.5,0.00529367280060499,0.157486765817999,MISAME,14-21 days,IFA/BEP,Downregulated,Positive
Bile acid biosynthesis,16,43,-0.372,0.0054617259053861,0.155986891857827,MISAME,1-2 mo.,IFA/BEP,Downregulated,Negative
Bile acid biosynthesis,6,10,-0.6,0.00562977901016721,0.619947903537518,MISAME,1-2 mo.,IFA/BEP,Downregulated,Positive
Porphyrin metabolism,6,15,0.4,0.00562977901016721,0.334971851104949,MISAME,1-2 mo.,IFA/BEP,Upregulated,Positive
Biopterin metabolism,5,9,0.556,0.00562977901016721,0.498361482228384,MISAME,3-4 mo.,IFA/BEP,Upregulated,Positive
Methionine and cysteine metabolism,21,57,-0.368,0.00562977901016721,0.299974792034283,ELICIT,5 mo.,Nico+Az.,Downregulated,Negative
Butanoate metabolism,7,16,-0.438,0.00562977901016721,0.265362316030327,Mumta-LW,1.5 mo.,BEP+ExBf,Downregulated,Positive
De novo fatty acid biosynthesis,22,57,-0.386,0.00588185866733888,0.329972271237711,MISAME,14-21 days,IFA/BEP,Downregulated,Negative
Drug metabolism - cytochrome P450,10,23,0.435,0.00596588521972944,0.709940341147803,MISAME,14-21 days,BEP/BEP,Upregulated,Negative
N-Glycan biosynthesis,15,38,0.395,0.00596588521972944,0.27775443706878,MISAME,3-4 mo.,BEP/IFA,Upregulated,Negative
Vitamin A (retinol) metabolism,4,7,-0.571,0.00613393832451055,0.182484665154189,ELICIT,5 mo.,Az.,Downregulated,Positive
TCA cycle,15,54,0.278,0.0062179648769011,0.147987564070246,MISAME,1-2 mo.,BEP/IFA,Upregulated,Negative
Phytanic acid peroxisomal oxidation,12,25,-0.48,0.00630199142929166,0.374968490042854,MISAME,1-2 mo.,BEP/IFA,Downregulated,Negative
Fatty acid oxidation,4,5,0.8,0.00638601798168221,0.457234304221952,MISAME,14-21 days,BEP/IFA,Upregulated,Negative
Prostaglandin formation from arachidonate,16,43,-0.372,0.00638601798168221,0.108562305688598,MISAME,3-4 mo.,IFA/BEP,Downregulated,Negative
Tryptophan metabolism,5,18,-0.278,0.00638601798168221,0.379968069910092,ELICIT,1 mo.,Az.,Downregulated,Positive
Selenoamino acid metabolism,11,23,-0.478,0.00638601798168221,0.751811822535921,ELICIT,1 mo.,Az.,Downregulated,Negative
Leukotriene metabolism,9,25,-0.36,0.00647004453407277,0.192483824888665,ELICIT,5 mo.,Nico,Downregulated,Negative
Carbon fixation,12,29,0.414,0.00647004453407277,0.553953449289976,Mumta-LW,1.5 mo.,BEP,Upregulated,Negative
Vitamin D3 (cholecalciferol) metabolism,5,8,-0.625,0.00655407108646332,0.327972439290816,MISAME,1-2 mo.,BEP/BEP,Downregulated,Negative
Aspartate and asparagine metabolism,13,34,-0.382,0.00655407108646332,0.449962188051424,MISAME,1-2 mo.,BEP/IFA,Downregulated,Positive
Vitamin A (retinol) metabolism,13,33,-0.394,0.00655407108646332,0.155986891857827,MISAME,1-2 mo.,IFA/BEP,Downregulated,Negative
Beta-Alanine metabolism,5,12,0.417,0.00655407108646332,0.389967229644568,ELICIT,5 mo.,Nico,Upregulated,Positive
Vitamin E metabolism,8,18,-0.444,0.00680615074363499,0.327972439290816,MISAME,1-2 mo.,BEP/BEP,Downregulated,Negative
Starch and Sucrose Metabolism,6,17,0.353,0.0069742038484161,0.513138697282887,MISAME,3-4 mo.,BEP/IFA,Upregulated,Positive
Propanoate metabolism,11,53,-0.208,0.00722628350558777,0.653222418284178,Mumta-LW,2 mo.,BEP+ExBf+AZT,Downregulated,Negative
Pentose phosphate pathway,15,46,0.326,0.00747836316275943,0.534955045794471,Mumta-LW,1.5 mo.,BEP+ExBf+AZT,Upregulated,Negative
Vitamin B3 (nicotinate and nicotinamide) metabolism,4,8,0.5,0.00756238971514999,0.269977312830855,ELICIT,1 mo.,Nico+Az.,Upregulated,Positive
Propanoate metabolism,19,51,-0.373,0.00756238971514999,0.299974792034283,ELICIT,5 mo.,Nico+Az.,Downregulated,Negative
Galactose metabolism,5,15,0.333,0.00764641626754054,0.535837324594572,ELICIT,5 mo.,Nico+Az.,Upregulated,Positive
Ascorbate (Vitamin C) and Aldarate Metabolism,5,11,-0.455,0.0077304428199311,0.199983194689522,Mumta-LW,2 mo.,BEP+ExBf+AZT,Downregulated,Positive
Ascorbate (Vitamin C) and Aldarate Metabolism,23,61,0.377,0.00781446937232165,0.592450214267709,ELICIT,1 mo.,Nico,Upregulated,Negative
Carnitine shuttle,11,22,-0.5,0.00781446937232165,0.232480463826569,Mumta-LW,1.5 mo.,BEP+ExBf+AZT,Downregulated,Positive
Androgen and estrogen biosynthesis and metabolism,9,17,-0.529,0.00831862868666499,0.329972271237711,MISAME,14-21 days,IFA/BEP,Downregulated,Negative
Glycerophospholipid metabolism,13,33,-0.394,0.00840265523905554,0.4599613477859,MISAME,1-2 mo.,BEP/BEP,Downregulated,Positive
Porphyrin metabolism,5,10,0.5,0.00840265523905554,0.142845139063944,MISAME,3-4 mo.,BEP/BEP,Upregulated,Positive
Beta-Alanine metabolism,6,11,-0.545,0.00857070834383665,0.449962188051424,MISAME,1-2 mo.,BEP/IFA,Downregulated,Positive
C5-Branched dibasic acid metabolism,10,21,0.476,0.00857070834383665,0.513706831358709,ELICIT,5 mo.,Nico,Upregulated,Negative
Drug metabolism - cytochrome P450,6,13,-0.462,0.00873876144861776,0.15427275018906,Mumta-LW,1.5 mo.,BEP+ExBf,Downregulated,Negative
Linoleate metabolism,5,11,0.455,0.00882278800100832,0.496933030837745,MISAME,14-21 days,IFA/BEP,Upregulated,Positive
"Glycine, serine, alanine and threonine metabolism",9,28,-0.321,0.00899084110578943,0.199983194689522,Mumta-LW,2 mo.,BEP+ExBf+AZT,Downregulated,Positive
Carbon fixation,2,2,1,0.00907486765817998,0.269977312830855,ELICIT,1 mo.,Nico+Az.,Upregulated,Positive
Nucleotide Sugar Metabolism,2,2,1,0.00907486765817998,0.269977312830855,ELICIT,1 mo.,Nico+Az.,Upregulated,Positive
Glycosphingolipid metabolism,9,25,-0.36,0.00907486765817998,0.15427275018906,Mumta-LW,1.5 mo.,BEP+ExBf,Downregulated,Negative
N-Glycan Degradation,7,17,0.412,0.00915889421057054,0.272477102764474,ELICIT,5 mo.,Nico+Az.,Upregulated,Negative
Saturated fatty acids beta-oxidation,4,7,-0.571,0.00915889421057054,0.265362316030327,Mumta-LW,1.5 mo.,BEP+ExBf,Downregulated,Positive
Ascorbate (Vitamin C) and Aldarate Metabolism,4,10,0.4,0.00915889421057054,0.294345013024116,Mumta-LW,1.5 mo.,BEP+ExBf+AZT,Upregulated,Positive
Linoleate metabolism,5,9,-0.556,0.00949500042013276,0.530375598689186,MISAME,3-4 mo.,BEP/BEP,Downregulated,Positive
Vitamin B1 (thiamin) metabolism,4,8,-0.5,0.00957902697252332,0.613477859003445,ELICIT,5 mo.,Nico,Downregulated,Positive
Glycerophospholipid metabolism,12,36,-0.333,0.00957902697252332,0.58995042433409,Mumta-LW,1.5 mo.,BEP,Downregulated,Positive
Beta-Alanine metabolism,4,8,-0.5,0.0100831862868667,0.199983194689522,Mumta-LW,2 mo.,BEP+ExBf+AZT,Downregulated,Positive
Fatty acid activation,20,62,-0.323,0.0102512393916478,0.203316247934347,MISAME,1-2 mo.,IFA/BEP,Downregulated,Negative
"Glycine, serine, alanine and threonine metabolism",32,102,-0.314,0.0102512393916478,0.299974792034283,ELICIT,5 mo.,Nico+Az.,Downregulated,Negative
De novo fatty acid biosynthesis,10,23,-0.435,0.0104192924964289,0.619947903537518,MISAME,1-2 mo.,IFA/BEP,Downregulated,Positive
Glyoxylate and Dicarboxylate Metabolism,14,38,0.368,0.0105033190488194,0.553953449289976,Mumta-LW,1.5 mo.,BEP,Upregulated,Negative
Glutamate metabolism,14,52,0.269,0.0106713721536005,0.192483824888665,MISAME,1-2 mo.,BEP/IFA,Upregulated,Negative
Xenobiotics metabolism,5,8,-0.625,0.0107553987059911,0.4599613477859,MISAME,1-2 mo.,BEP/BEP,Downregulated,Positive
Chondroitin sulfate degradation,2,2,1,0.0108394252583817,0.429963868582472,MISAME,1-2 mo.,IFA/BEP,Upregulated,Positive
N-Glycan biosynthesis,10,29,-0.345,0.0108394252583817,0.644945802873708,Mumta-LW,1.5 mo.,BEP,Downregulated,Negative
Putative anti-Inflammatory metabolites formation from EPA,3,5,-0.6,0.0110074783631628,0.598605159230317,MISAME,14-21 days,BEP/BEP,Downregulated,Positive
Vitamin D3 (cholecalciferol) metabolism,4,6,-0.667,0.011343584572725,0.449962188051424,MISAME,1-2 mo.,BEP/IFA,Downregulated,Positive
Ascorbate (Vitamin C) and Aldarate Metabolism,24,85,0.282,0.011343584572725,0.674943282077136,MISAME,1-2 mo.,IFA/BEP,Upregulated,Negative
Prostaglandin formation from dihomo gama-linoleic acid,3,3,-1,0.0114276111251155,0.27197714477775,MISAME,3-4 mo.,BEP/BEP,Downregulated,Negative
Prostaglandin formation from arachidonate,12,38,-0.316,0.0114276111251155,0.679942861944375,ELICIT,5 mo.,Az.,Downregulated,Negative
Arachidonic acid metabolism,8,17,-0.471,0.0115956642298966,0.4599613477859,MISAME,1-2 mo.,BEP/BEP,Downregulated,Positive
Di-unsaturated fatty acid beta-oxidation,7,16,-0.438,0.0115956642298966,0.327972439290816,MISAME,1-2 mo.,BEP/BEP,Downregulated,Negative
3-oxo-10R-octadecatrienoate beta-oxidation,2,2,-1,0.0118477438870683,0.25569279892446,ELICIT,5 mo.,Az.,Downregulated,Positive
Prostaglandin formation from arachidonate,19,50,-0.38,0.0120157969918494,0.35746996050752,MISAME,14-21 days,IFA/BEP,Downregulated,Negative
C5-Branched dibasic acid metabolism,7,13,-0.538,0.0121838500966305,0.299974792034283,ELICIT,5 mo.,Nico+Az.,Downregulated,Negative
Galactose metabolism,16,48,-0.333,0.0124359297538022,0.493291880234154,ELICIT,1 mo.,Nico,Downregulated,Negative
Pentose phosphate pathway,14,40,-0.35,0.0124359297538022,0.493291880234154,ELICIT,1 mo.,Nico,Downregulated,Negative
Pyruvate Metabolism,18,50,-0.36,0.0126039828585833,0.299974792034283,ELICIT,5 mo.,Nico+Az.,Downregulated,Negative
Leukotriene metabolism,12,32,-0.375,0.0126880094109739,0.215696159986556,MISAME,1-2 mo.,IFA/BEP,Downregulated,Negative
Carbon fixation,9,18,0.5,0.0126880094109739,0.592450214267709,ELICIT,1 mo.,Nico,Upregulated,Negative
R Group Synthesis,2,2,-1,0.0127720359633644,0.265362316030327,Mumta-LW,1.5 mo.,BEP+ExBf,Downregulated,Positive
Mono-unsaturated fatty acid beta-oxidation,2,2,-1,0.0127720359633644,0.265362316030327,Mumta-LW,1.5 mo.,BEP+ExBf,Downregulated,Positive
Prostaglandin formation from dihomo gama-linoleic acid,2,2,-1,0.0127720359633644,0.265362316030327,Mumta-LW,1.5 mo.,BEP+ExBf,Downregulated,Positive
Vitamin B6 (pyridoxine) metabolism,6,7,0.857,0.012856062515755,0.543031290195394,MISAME,3-4 mo.,BEP/BEP,Upregulated,Negative
Vitamin H (biotin) metabolism,4,7,0.571,0.012856062515755,0.52715570120158,ELICIT,5 mo.,Az.,Upregulated,Negative
Bile acid biosynthesis,12,43,0.279,0.0129400890681455,0.192483824888665,MISAME,1-2 mo.,BEP/IFA,Upregulated,Negative
Beta-Alanine metabolism,12,43,0.279,0.0129400890681455,0.192483824888665,MISAME,1-2 mo.,BEP/IFA,Upregulated,Negative
Glycosphingolipid biosynthesis - globoseries,11,27,0.407,0.0131081421729266,0.27775443706878,MISAME,3-4 mo.,BEP/IFA,Upregulated,Negative
Arachidonic acid metabolism,7,14,-0.5,0.0131081421729266,0.222838416939753,MISAME,3-4 mo.,IFA/BEP,Downregulated,Positive
Fatty acid activation,18,54,-0.333,0.0131081421729266,0.194983614822284,MISAME,3-4 mo.,IFA/BEP,Downregulated,Negative
Tryptophan metabolism,10,32,0.312,0.0131921687253172,0.278976556591883,MISAME,14-21 days,BEP/IFA,Upregulated,Positive
Glycolysis and Gluconeogenesis,25,83,-0.301,0.0131921687253172,0.385681875472649,ELICIT,1 mo.,Nico+Az.,Downregulated,Negative
Purine metabolism,7,29,0.241,0.0132761952777078,0.535837324594572,ELICIT,5 mo.,Nico+Az.,Upregulated,Positive
Leukotriene metabolism,12,28,-0.429,0.0132761952777078,0.535669271489791,Mumta-LW,1.5 mo.,BEP+ExBf+AZT,Downregulated,Negative
Pyruvate Metabolism,15,50,0.3,0.0133602218300983,0.771783883707252,ELICIT,1 mo.,Az.,Upregulated,Negative
Prostaglandin formation from arachidonate,14,46,-0.304,0.0135282749348794,0.327972439290816,MISAME,1-2 mo.,BEP/BEP,Downregulated,Negative
Aspartate and asparagine metabolism,8,25,-0.32,0.0135282749348794,0.22998067389295,Mumta-LW,2 mo.,BEP+ExBf+AZT,Downregulated,Positive
Chondroitin sulfate degradation,2,2,1,0.01361230148727,0.496933030837745,MISAME,14-21 days,IFA/BEP,Upregulated,Positive
Arachidonic acid metabolism,5,12,-0.417,0.01361230148727,0.25569279892446,ELICIT,5 mo.,Az.,Downregulated,Positive
D4&E4-neuroprostanes formation,2,2,-1,0.01361230148727,0.489958826989329,Mumta-LW,2 mo.,BEP+ExBf,Downregulated,Positive
Alkaloid biosynthesis II,6,13,-0.462,0.0137803545920511,0.327972439290816,MISAME,1-2 mo.,BEP/BEP,Downregulated,Negative
Ubiquinone Biosynthesis,8,20,0.4,0.0137803545920511,0.534955045794471,Mumta-LW,1.5 mo.,BEP+ExBf+AZT,Upregulated,Negative
Vitamin B9 (folate) metabolism,6,14,-0.429,0.0137803545920511,0.58995042433409,Mumta-LW,1.5 mo.,BEP,Downregulated,Positive
Omega-6 fatty acid metabolism,5,8,-0.625,0.0142845139063944,0.279976472565331,Mumta-LW,1.5 mo.,BEP+ExBf+AZT,Downregulated,Positive
Vitamin D3 (cholecalciferol) metabolism,3,4,0.75,0.014368540458785,0.53256028905134,ELICIT,1 mo.,Az.,Upregulated,Positive
Chondroitin sulfate degradation,2,2,1,0.0144525670111755,0.520796571716662,MISAME,14-21 days,BEP/BEP,Upregulated,Positive
Prostaglandin formation from arachidonate,6,20,0.3,0.0145365935635661,0.513138697282887,MISAME,3-4 mo.,BEP/IFA,Upregulated,Positive
C21-steroid hormone biosynthesis and metabolism,8,16,-0.5,0.0147046466683472,0.279976472565331,Mumta-LW,1.5 mo.,BEP+ExBf+AZT,Downregulated,Positive
Aminosugars metabolism,7,23,-0.304,0.0147886732207378,0.598605159230317,MISAME,14-21 days,BEP/BEP,Downregulated,Positive
Glycosphingolipid biosynthesis - globoseries,9,27,0.333,0.0148726997731283,0.31664005825841,ELICIT,5 mo.,Nico+Az.,Upregulated,Negative
Glycosylphosphatidylinositol(GPI)-anchor biosynthesis,5,7,0.714,0.0148726997731283,0.763685824720612,Mumta-LW,2 mo.,BEP+ExBf,Upregulated,Negative
C5-Branched dibasic acid metabolism,9,23,0.391,0.0150407528779094,0.457234304221952,MISAME,14-21 days,BEP/IFA,Upregulated,Negative
