,VarName,VARLABEL,VarCategory,AnalysisMethod,QUANTIFICATION,UNIT,DERIVATION,ProgrammingNotes,VARDESCRIPTION,VarSubCategory,AdditionalNotes,SecondName,DatabaseID,LOD,VarType
2:06,AA,Arachidonic acid,Targeted Metabolomics,"LC-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Small Molecules,Fatty Acids,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',AA,HMDB0001043; CAS-506-32-1,0.3965; 0.8475; 0.4,numeric
2:07,AABA,alpha-Aminobutyric acid,Targeted Metabolomics,"LC-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Small Molecules,Amino Acid Related,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',AABA,"HMDB0000452, HMDB0000650; CAS-1492-24-6, CAS-2623-91-8, CAS-2835-81-6",0.5964; 0.5284; 0.3147,numeric
2:08,AbsAcid,Abscisic acid,Targeted Metabolomics,"LC-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Small Molecules,Hormones and Related,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',AbsAcid,HMDB0035140; CAS-21293-29-8,0.06687; 0.01; 0.01,numeric
2:09,Ac.Orn,Acetylornithine,Targeted Metabolomics,"LC-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Small Molecules,Amino Acid Related,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',Ac-Orn,"HMDB0003357; CAS-2185-16-2, CAS-6205-08-9",0.00693; 0.08; 0.08,numeric
2:10,AconAcid,Aconitic acid,Targeted Metabolomics,"LC-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Small Molecules,Carboxylic Acids,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',AconAcid,"HMDB0000072, HMDB0000958; CAS-585-84-2, CAS-4023-65-8, CAS-499-12-7",0.444; 1; 1,numeric
2:11,ADMA,Asymmetric dimethylarginine,Targeted Metabolomics,"LC-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Small Molecules,Amino Acid Related,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',ADMA,"HMDB01539; CAS-30315-93-6, CAS-30344-00-4",0.0588; 0.08; 0.08,numeric
2:12,Ala,Alanine,Targeted Metabolomics,"LC-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Small Molecules,Amino Acids,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',Ala,"HMDB00161, HMDB01310; CAS-56-41-7, CAS-302-72-7, CAS-338-69-2",9; 9; 9,numeric
2:13,alpha.AAA,alpha-Aminoadipic acid,Targeted Metabolomics,"LC-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Small Molecules,Amino Acid Related,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',alpha-AAA,"HMDB00510; CAS-542-32-5, CAS-7620-28-2, CAS-1118-90-7",0.3; 0.3; 0.3,numeric
2:14,Anserine,L-Anserine,Targeted Metabolomics,"LC-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Small Molecules,Amino Acid Related,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',Anserine,HMDB0000194; CAS-584-85-0,0.01; 0.01; 0.01,numeric
2:15,Arg,Arginine,Targeted Metabolomics,"LC-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Small Molecules,Amino Acids,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',Arg,"HMDB00517, HMDB03416; CAS-74-79-3, CAS-7200-25-1, CAS-157-06-2",3.42; 0.2919; 0.8,numeric
2:16,Asn,Asparagine,Targeted Metabolomics,"LC-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Small Molecules,Amino Acids,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',Asn,"HMDB00168, HMDB0033780; CAS-70-47-3 , CAS-3130-87-8, CAS-2058-58-4",1.734; 0.2778; 0.4,numeric
2:17,Asp,Aspartic Acid,Targeted Metabolomics,"LC-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Small Molecules,Amino Acids,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',Asp,"HMDB00191, HMDB06483; CAS-56-84-8, CAS-617-45-8, CAS-1783-96-6",1.353; 0.783; 0.8,numeric
2:18,BABA,beta-Aminobutyric acid,Targeted Metabolomics,"LC-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Small Molecules,Amino Acid Related,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',BABA,HMDB0031654; CAS-541-48-0,0.03; 0.03; 0.03,numeric
2:19,beta.Ala,beta-Alanine,Targeted Metabolomics,"LC-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Small Molecules,Biogenic Amines,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',beta-Ala,HMDB0000056; CAS-107-95-9,0.1971; 0.0875356; 0.1361,numeric
2:20,Betaine,Betaine,Targeted Metabolomics,"LC-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Small Molecules,Amino Acid Related,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',Betaine,HMDB0000043; CAS-107-43-7,0.2; 0.2; 0.2,numeric
2:21,C0,Carnitine,Targeted Metabolomics,"FIA-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Lipids,Acylcarnitines,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',C0,"HMDB00062; CAS-541-15-1, CAS-541-14-0, CAS-461-06-3",2.54; 1.554; 1.508,numeric
2:22,C10,Decanoylcarnitine,Targeted Metabolomics,"FIA-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Lipids,Acylcarnitines,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',C10,HMDB00651; CAS-1492-27-9,0.459; 0.4266; 0.2259,numeric
2:23,C10.1,Decenoylcarnitine,Targeted Metabolomics,"FIA-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Lipids,Acylcarnitines,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',C10:1,HMDB13205; CAS-1256380-16-1,0.5164; 0.7572; 0.9205,numeric
2:24,C10.2,Decadienoylcarnitine,Targeted Metabolomics,"FIA-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Lipids,Acylcarnitines,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',C10:2,HMDB0013325; CAS-128305-29-3,0.2274; 0.1317; 0.1272,numeric
2:25,C12,Dodecanoylcarnitine,Targeted Metabolomics,"FIA-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Lipids,Acylcarnitines,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',C12,HMDB02250; CAS-25518-54-1,0.1267; 0.124; 0.070373,numeric
2:26,C12.DC,Dodecanedioylcarnitine,Targeted Metabolomics,"FIA-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Lipids,Acylcarnitines,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',C12-DC,HMDB0013327; NA,2.111; 1.844; 1.109,numeric
2:27,C12.1,Dodecenoylcarnitine,Targeted Metabolomics,"FIA-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Lipids,Acylcarnitines,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',C12:1,HMDB0013326; NA,0.1255; 0.1525; 0.1724,numeric
2:28,C14,Tetradecanoylcarnitine,Targeted Metabolomics,"FIA-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Lipids,Acylcarnitines,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',C14,HMDB05066; CAS-25597-07-3,0.1992; 0.1834; 0.0643333,numeric
2:29,C14.1,Tetradecenoylcarnitine,Targeted Metabolomics,"FIA-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Lipids,Acylcarnitines,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',C14:1,HMDB0002014; CAS-835598-21-5,0.07256; 0.041747; 0.0222008,numeric
2:30,C14.1.OH,Hydroxytetradecenoylcarnitine,Targeted Metabolomics,"FIA-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Lipids,Acylcarnitines,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',C14:1-OH,HMDB0013330; NA,0.1141; 0.075699; 0.0515938,numeric
2:31,C14.2,Tetradecadienoylcarnitine,Targeted Metabolomics,"FIA-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Lipids,Acylcarnitines,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',C14:2,HMDB13331; NA,0.09776; 0.0355299; 0.0199064,numeric
2:32,C14.2.OH,Hydroxytetradecadienoylcarnitine,Targeted Metabolomics,"FIA-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Lipids,Acylcarnitines,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',C14:2-OH,NA,0.07653; 0.0331315; 0.0341363,numeric
2:33,C16,Hexadecanoylcarnitine,Targeted Metabolomics,"FIA-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Lipids,Acylcarnitines,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',C16,"HMDB00222; CAS-2364-67-2, CAS-1935-18-8",0.1371; 0.1191; 0.0538191,numeric
2:34,C16.OH,Hydroxyhexadecanoylcarnitine,Targeted Metabolomics,"FIA-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Lipids,Acylcarnitines,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',C16-OH,HMDB13336; CAS-1911579-97-9,0.1021; 0.1764; 0.1526,numeric
2:35,C16.1,Hexadecenoylcarnitine,Targeted Metabolomics,"FIA-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Lipids,Acylcarnitines,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',C16:1,"HMDB06317, HMDB13207; CAS-329321-94-0",0.08366; 0.0724648; 0.0406228,numeric
2:36,C16.1.OH,Hydroxyhexadecenoylcarnitine,Targeted Metabolomics,"FIA-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Lipids,Acylcarnitines,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',C16:1-OH,HMDB13333; NA,0.09868; 0.0760856; 0.0380283,numeric
2:37,C16.2,Hexadecadienoylcarnitine,Targeted Metabolomics,"FIA-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Lipids,Acylcarnitines,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',C16:2,HMDB13334; CAS-1911579-97-9,0.06234; 0.0566268; 0.0496999,numeric
2:38,C16.2.OH,Hydroxyhexadecadienoylcarnitine,Targeted Metabolomics,"FIA-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Lipids,Acylcarnitines,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',C16:2-OH,HMDB13335; NA,0.1627; 0.0912528; 0.0433805,numeric
2:39,C18,Octadecanoylcarnitine,Targeted Metabolomics,"FIA-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Lipids,Acylcarnitines,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',C18,HMDB00848; CAS-1976-27-8,0.03082; 0.0288473; 0.0219725,numeric
2:40,C18.1,Octadecenoylcarnitine,Targeted Metabolomics,"FIA-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Lipids,Acylcarnitines,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',C18:1,"HMDB0006351, HMDB0005065, HMDB06464, HMDB0013338; CAS-13962-05-5",0.1988; 0.1909; 0.0958108,numeric
2:41,C18.1.OH,Hydroxyoctadecenoylcarnitine,Targeted Metabolomics,"FIA-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Lipids,Acylcarnitines,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',C18:1-OH,HMDB13339; CAS-851132-91-7,1.443; 1.542; 0.1793,numeric
2:42,C18.2,Octadecadienoylcarnitine,Targeted Metabolomics,"FIA-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Lipids,Acylcarnitines,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',C18:2,"HMDB0006469, HMDB0006461; CAS-36816-10-1",0.03903; 0.0312282; 0.02429,numeric
2:43,C2,Acetylcarnitine,Targeted Metabolomics,"FIA-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Lipids,Acylcarnitines,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',C2,"HMDB00201; CAS-3040-38-8, CAS-870-77-9",0.1333; 0.1333; 0.1554,numeric
2:44,C3,Propionylcarnitine,Targeted Metabolomics,"FIA-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Lipids,Acylcarnitines,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',C3,HMDB00824; CAS-17298-37-2,0.1467; 0.1222; 0.0322137,numeric
2:45,C3.DC..C4.OH.,Malonylcarnitine (Hydroxybutyrylcarnitine),Targeted Metabolomics,"FIA-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Lipids,Acylcarnitines,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',C3-DC (C4-OH),"HMDB02095; CAS-853728-1-5, CAS-910825-21-7",0.1087; 0.0515263; 0.084227,numeric
2:46,C3.OH,Hydroxypropionylcarnitine,Targeted Metabolomics,"FIA-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Lipids,Acylcarnitines,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',C3-OH,HMDB0013125; NA,1.676; 0.7938; 0.4543,numeric
2:47,C3.1,Propenoylcarnitine,Targeted Metabolomics,"FIA-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Lipids,Acylcarnitines,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',C3:1,HMDB0013124; NA,0.0555; 0.0671111; 0.0671111,numeric
2:48,C4,Butyrylcarnitine,Targeted Metabolomics,"FIA-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Lipids,Acylcarnitines,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',C4,"HMDB02013, HMDB00736; CAS-1492-26-8, CAS-25518-49-4, CAS-25576-40-3",0.05475; 0.1044; 0.1044,numeric
2:49,c4.OH.Pro,cis-4-Hydroxyproline,Targeted Metabolomics,"LC-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Small Molecules,Amino Acid Related,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',c4-OH-Pro,HMDB0240251; CAS-618-27-9,0.3; 0.3; 0.3,numeric
2:50,C4.1,Butenylcarnitine,Targeted Metabolomics,"FIA-MS/MS, MxP Quant 500; Biocrates","Targeted, Absolute",[µM],No,NA,Lipids,Acylcarnitines,'< LOD' = left censored missing values (below Limit of Detection); Plate normalized and non-normalized versions available; Also see 'Notes on Biocrates data - Version3_July212022.pdf',C4:1,HMDB0013126; NA,0.1146; 0.0906114; 0.0883333,numeric
